,UIDs,SMILES,Kmeans Class,Hierarchal Class
114,274,c12c(ccc3c2nccc3)cccc1,2,0
115,55,c12[CH]C[CH]c3c2c(ccc1)ccc3,2,0
116,54,c12C=CCc3c2c(ccc1)ccc3,2,0
117,491,c1c2c(cc3c1cccc3)ccnc2,2,0
118,489,c1c2c(cc3c1cccn3)cccc2,2,0
119,487,n1c2c(cc3c1cccc3)cccc2,2,0
120,49,c12cccc3c2c(ccc1)CC=C3,2,0
121,277,c12c(ncc3c2cccc3)cccc1,2,0
122,275,c12c(ccc3c2nccc3)cccc1,2,0
123,492,c1c2c(cc3c1cccc3)ccnc2,2,0
124,490,c1c2c(cc3c1cccn3)cccc2,2,0
125,488,n1c2c(cc3c1cccc3)cccc2,2,0
126,51,c12cccc3c2c(ccc1)[CH]C[CH]3,2,0
127,50,c12cccc3c2c(ccc1)CC=C3,2,0
128,2359,c12c3c([c][c]c1[c][c][c][c]2)[c][c][c][c]3,3,2
129,517,[c]1c2c(cc3c1cccc3)cccc2,2,0
130,515,c1c2c(cc3c1cccc3)cc[c]c2,2,0
131,513,c1c2c(cc3c1cccc3)ccc[c]2,2,0
132,273,c12c(ccc3c2cccc3)cccc1,2,0
133,265,c1c2c(cc3c1cccc3)cccc2,2,0
134,338,C1c2c(Cc3c1cccc3)cccc2,2,0
135,481,c1c2c(cc3c1cc(cc3)N)cccc2,2,0
136,479,c1c2c(cc3c1c(ccc3)N)cccc2,2,0
137,477,c1(c2c(cc3c1cccc3)cccc2)N,2,0
138,340,c12c(CCc3c2cccc3)cccc1,2,0
139,339,C1C2=C(CC3=C1CC=CC3)CC=CC2,2,0
140,518,[c]1c2c(cc3c1cccc3)cccc2,2,0
141,516,c1c2c(cc3c1cccc3)cc[c]c2,2,0
142,514,c1c2c(cc3c1cccc3)ccc[c]2,2,0
143,365,c12c(ccc3c2cccc3)cccc1,2,0
144,266,c1c2c(cc3c1cccc3)cccc2,2,0
145,482,c1c2c(cc3c1cc(cc3)N)cccc2,2,0
146,480,c1c2c(cc3c1c(ccc3)N)cccc2,2,0
147,478,c1(c2c(cc3c1cccc3)cccc2)N,2,0
148,366,c12c(CCc3c2cccc3)cccc1,2,0
149,341,c12c3ccc4c2c(ccc4)Cc1ccc3,2,0
150,271,c12c3cccc2ccc2c1c(cnc2)cc3,2,0
151,471,c1c2c(cc3c1cc(cc3)C#N)cccc2,2,0
152,469,c1c2c(cc3c1c(ccc3)C#N)cccc2,2,0
153,467,c1(c2c(cc3c1cccc3)cccc2)C#N,2,0
154,328,c1(c2c(cc3c1cccc3)cccc2)C,2,0
155,326,c1c2c(cc3c1cccc3)ccc(c2)C,2,0
156,324,c1c2c(cc3c1c(ccc3)C)cccc2,2,0
157,354,C1c2c(CCc3c1cccc3)cccc2,2,0
158,272,c12c3cccc2ccc2c1c(cnc2)cc3,2,0
159,472,c1c2c(cc3c1cc(cc3)C#N)cccc2,2,0
160,470,c1c2c(cc3c1c(ccc3)C#N)cccc2,2,0
161,468,c1(c2c(cc3c1cccc3)cccc2)C#N,2,0
162,329,c1(c2c(cc3c1cccc3)cccc2)C,2,0
163,327,c1c2c(cc3c1cccc3)ccc(c2)C,2,0
164,325,c1c2c(cc3c1c(ccc3)C)cccc2,2,0
165,554,c12c3cccc2ccc2c1c(ccc2)cc3,2,0
166,387,c12c3cccc1c1c(c2ccc3)cccc1,2,0
167,334,c12c3cccc2ccc2c1c(ccc2)cc3,2,0
168,459,c12C3=CCc4c1c(ccc4)ccc2C(=O)C=C3,2,0
169,453,c12C3=CC(=O)c4c1c(ccc4)ccc2C=CC3,2,0
170,447,c12c3C(=O)CC=c2ccc2c1c(ccc2)cc3,2,0
171,461,c12C3=CCc4c1c(ccc4)ccc2C=CC3=O,2,0
172,457,c12c3cccc2ccc2c1c(ccc2)CC3=O,2,0
173,455,c12C3=CC(=O)[CH]c2ccc2c1c(ccc2)[CH]C3,2,0
174,451,c12c3CC(=O)C=c2ccc2c1c(ccc2)cc3,2,0
175,449,c12C3=CC[CH]c2ccc2c1c(ccc2)[CH]C3=O,2,0
176,439,c12c3cccc2ccc2c1c(ccc2)cc3O,2,0
177,437,c12c3c(ccc2ccc2c1c(ccc2)cc3)O,2,0
178,435,c12c3c(ccc2ccc2c1c(ccc2)cc3)O,2,0
179,433,c12c3cc(cc2ccc2c1c(ccc2)cc3)O,2,0
180,445,c12c3cccc2ccc2c1c(ccc2)[CH][C@@H]3O,2,0
181,443,c12c3[C@@H](C=C[C@@H]2C=Cc2c1c(ccc2)cc3)O,2,0
182,441,[C@H]12C3=C[C@@H](C=C2C=Cc2c1c(ccc2)C=C3)O,2,0
183,299,c12c(c3c(cc1)c1c(cc3)cccn1)nccc2,2,0
184,337,[C@H]12C3=C[CH]C=C2C=CC2=C[CH]C=C([C@@H]12)C=C3,2,0
185,335,c12c3cccc2ccc2c1c(ccc2)CC3,2,0
186,336,c12c3CCCc2ccc2c1c(CCC2)cc3,2,0
187,388,c12c3cccc1c1c(c2ccc3)cccc1,2,0
188,360,c12c3cccc2ccc2c1c(ccc2)cc3,2,0
189,460,c12C3=CCc4c1c(ccc4)ccc2C(=O)C=C3,2,0
190,454,c12C3=CC(=O)c4c1c(ccc4)ccc2C=CC3,2,0
191,462,c12C3=CCc4c1c(ccc4)ccc2C=CC3=O,2,0
192,458,c12c3cccc2ccc2c1c(ccc2)CC3=O,2,0
193,456,c12c3cc(cc2ccc2c1c(ccc2)[CH]C3)[O],2,0
194,452,c12c3CC(=O)C=c2ccc2c1c(ccc2)cc3,2,0
195,450,c12C3=CC[CH]c2ccc2c1c(ccc2)[CH]C3=O,2,0
196,448,c12c3C(=O)CC=c2ccc2c1c(ccc2)cc3,2,0
197,440,c12c3cccc2ccc2c1c(ccc2)cc3O,2,0
198,438,c12c3c(ccc2ccc2c1c(ccc2)cc3)O,2,0
199,436,c12c3c(ccc2ccc2c1c(ccc2)cc3)O,2,0
200,434,c12c3cc(cc2ccc2c1c(ccc2)cc3)O,2,0
201,3,c12c3cccc2ccc2c1c(ccc2)[CH]C3,2,0
202,2,c12c3CC=C[C@@H]2C=Cc2c1c(ccc2)cc3,2,0
203,1,[C@@H]12C3=CCC=C2C=Cc2c1c(ccc2)C=C3,2,0
204,446,c12c3cccc2ccc2c1c(ccc2)[CH][C@@H]3O,2,0
205,444,c12c3[C@@H](C=C[C@@H]2C=Cc2c1c(ccc2)cc3)O,2,0
206,442,[C@H]12C3=C[C@@H](C=C2C=Cc2c1c(ccc2)C=C3)O,2,0
207,300,c12c(c3c(cc1)c1c(cc3)cccn1)nccc2,2,0
208,364,[C@H]12C3=C[CH]C=C2C=CC2=C[CH]C=C([C@@H]12)C=C3,2,0
209,361,c12c3cccc2ccc2c1c(ccc2)CC3,2,0
210,362,c12c3CCCc2ccc2c1c(CCC2)cc3,2,0
211,363,c12c3CCCc2ccc2c1c(CCC2)cc3,2,0
212,2360,c12c3[C]=C4[C@H](c1[c][c][c]c2[c][c][c]3)[C]=[C][C]=[C]4,3,2
